graph,motif,class_before_val,class_after_val,class_before_exec,class_after_exec,d_phi_s_val,d_phi_s_exec,d_grad_val,d_grad_exec,d_kphi_val,d_kphi_exec,d_xi_c_val,d_xi_c_exec
"bent(dphi=0.3,ml=4)",gentle_bond_gen,unknown,unknown,unknown,unknown,0.0,0.0,0.0,0.11767194936929726,0.0,0.0,0.0,55.240533595649
"bent(dphi=0.3,ml=4)",stabilize_only_gen,unknown,unknown,unknown,unknown,0.0,0.0,0.0,0.026773941001101642,0.0,0.0,0.0,55.240533595649
"bent(dphi=0.3,ml=4)",stabilize_sandwich_gen,unknown,unknown,unknown,unknown,0.0,0.0,0.0,0.09882646254265759,0.0,0.0,0.0,55.240533595649
"bent(dphi=0.35,ml=4)",gentle_bond_gen,unknown,unknown,unknown,unknown,0.0,0.0,0.0,0.11767194936929726,0.0,0.0,0.0,55.240533595649
"bent(dphi=0.35,ml=4)",stabilize_only_gen,unknown,unknown,unknown,unknown,0.0,0.0,0.0,0.026773941001101642,0.0,0.0,0.0,55.240533595649
"bent(dphi=0.35,ml=4)",stabilize_sandwich_gen,unknown,unknown,unknown,unknown,0.0,0.0,0.0,0.09882646254265759,0.0,0.0,0.0,55.240533595649
"star3(dphi=0.3,ml=4)",gentle_bond_gen,unknown,unknown,unknown,unknown,0.0,0.0,0.0,0.0006337952895285603,0.0,0.0,0.0,23.713622666304335
"star3(dphi=0.3,ml=4)",stabilize_only_gen,unknown,unknown,unknown,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.713622666304335
"star3(dphi=0.3,ml=4)",stabilize_sandwich_gen,unknown,unknown,unknown,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.713622666304335
"star3(dphi=0.35,ml=4)",gentle_bond_gen,unknown,unknown,unknown,unknown,0.0,0.0,0.0,0.0006337952895285603,0.0,0.0,0.0,23.713622666304335
"star3(dphi=0.35,ml=4)",stabilize_only_gen,unknown,unknown,unknown,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.713622666304335
"star3(dphi=0.35,ml=4)",stabilize_sandwich_gen,unknown,unknown,unknown,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.713622666304335
"star4(dphi=0.3,ml=4)",gentle_bond_gen,unknown,unknown,unknown,unknown,0.0,0.0,0.0,-0.010731225690063795,0.0,0.0,0.0,32.576322759602256
"star4(dphi=0.3,ml=4)",stabilize_only_gen,unknown,unknown,unknown,unknown,0.0,0.0,0.0,-0.003799395678677042,0.0,0.0,0.0,32.576322759602256
"star4(dphi=0.3,ml=4)",stabilize_sandwich_gen,unknown,unknown,unknown,unknown,0.0,0.0,0.0,-0.0070761279286779555,0.0,0.0,0.0,32.576322759602256
"star4(dphi=0.35,ml=4)",gentle_bond_gen,unknown,unknown,unknown,unknown,0.0,0.0,0.0,-0.010731225690063795,0.0,0.0,0.0,32.576322759602256
"star4(dphi=0.35,ml=4)",stabilize_only_gen,unknown,unknown,unknown,unknown,0.0,0.0,0.0,-0.003799395678677042,0.0,0.0,0.0,32.576322759602256
"star4(dphi=0.35,ml=4)",stabilize_sandwich_gen,unknown,unknown,unknown,unknown,0.0,0.0,0.0,-0.0070761279286779555,0.0,0.0,0.0,32.576322759602256
