Z,symbol,signature,xi_c,mean_grad,mean_kphi,mean_path_length,local_frac,u6_ok,u6_drift
1,H,stressed,0.000000,0.000000,0.000000,1.692308,0.000000,PASS,0.214947
2,He,stressed,0.000000,0.000000,0.000000,1.733333,0.000000,PASS,0.236701
3,Li,stressed,0.000000,0.000000,0.000000,2.722581,0.000000,PASS,0.321468
4,Be,stressed,0.000000,0.000000,0.000000,2.954622,0.000000,PASS,0.330865
5,B,stressed,0.000000,0.000000,0.000000,3.010796,0.000000,PASS,0.354486
6,C,stressed,0.000000,0.000000,0.000000,3.062016,0.000000,PASS,0.369994
7,N,stressed,0.000000,0.000000,0.000000,3.330250,0.021277,PASS,0.369624
8,O,stressed,0.000000,0.000000,0.000000,3.348235,0.039216,PASS,0.402578
9,F,stressed,0.000000,0.000000,0.000000,3.423569,0.054545,PASS,0.422645
10,Ne,stressed,0.000000,0.000000,0.000000,3.627119,0.033898,PASS,0.436796
