name,symbol,ptype,generation,spin,mass_GeV,Q,T3,Y,B,L_e,L_mu,L_tau,color_dim,isospin_mult,pdg_id,anti_symbol,notes
electron,e-,fermion,1,0.5,0.000511,-1.0,-0.5,-1.0,0.0,1,0,0,1,2,11.0,,
muon,mu-,fermion,2,0.5,0.10566,-1.0,-0.5,-1.0,0.0,0,1,0,1,2,13.0,,
tau,tau-,fermion,3,0.5,1.77686,-1.0,-0.5,-1.0,0.0,0,0,1,1,2,15.0,,
nu_e,nu_e,fermion,1,0.5,0.0,0.0,0.5,-1.0,0.0,1,0,0,1,2,12.0,,
nu_mu,nu_mu,fermion,2,0.5,0.0,0.0,0.5,-1.0,0.0,0,1,0,1,2,14.0,,
nu_tau,nu_tau,fermion,3,0.5,0.0,0.0,0.5,-1.0,0.0,0,0,1,1,2,16.0,,
up,u,fermion,1,0.5,0.0022,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333,0,0,0,3,2,2.0,,
down,d,fermion,1,0.5,0.0047,-0.3333333333333333,-0.5,0.3333333333333333,0.3333333333333333,0,0,0,3,2,1.0,,
charm,c,fermion,2,0.5,1.27,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333,0,0,0,3,2,4.0,,
strange,s,fermion,2,0.5,0.095,-0.3333333333333333,-0.5,0.3333333333333333,0.3333333333333333,0,0,0,3,2,3.0,,
top,t,fermion,3,0.5,172.7,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333,0,0,0,3,2,6.0,,
bottom,b,fermion,3,0.5,4.18,-0.3333333333333333,-0.5,0.3333333333333333,0.3333333333333333,0,0,0,3,2,5.0,,
photon,gamma,boson,,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,22.0,,
gluon,g,boson,,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,8,1,21.0,,
W+,W+,boson,,1.0,80.379,1.0,0.0,2.0,0.0,0,0,0,1,3,24.0,,
W-,W-,boson,,1.0,80.379,-1.0,0.0,-2.0,0.0,0,0,0,1,3,-24.0,,
Z,Z0,boson,,1.0,91.1876,0.0,0.0,0.0,0.0,0,0,0,1,3,23.0,,
Higgs,H0,boson,,0.0,125.1,0.0,0.0,0.0,0.0,0,0,0,1,1,25.0,,
anti-electron,e-¯,fermion,1,0.5,0.000511,1.0,0.5,1.0,0.0,-1,0,0,1,2,,e-,anti of e-
anti-muon,mu-¯,fermion,2,0.5,0.10566,1.0,0.5,1.0,0.0,0,-1,0,1,2,,mu-,anti of mu-
anti-tau,tau-¯,fermion,3,0.5,1.77686,1.0,0.5,1.0,0.0,0,0,-1,1,2,,tau-,anti of tau-
anti-nu_e,nu_e¯,fermion,1,0.5,0.0,0.0,-0.5,1.0,0.0,-1,0,0,1,2,,nu_e,anti of nu_e
anti-nu_mu,nu_mu¯,fermion,2,0.5,0.0,0.0,-0.5,1.0,0.0,0,-1,0,1,2,,nu_mu,anti of nu_mu
anti-nu_tau,nu_tau¯,fermion,3,0.5,0.0,0.0,-0.5,1.0,0.0,0,0,-1,1,2,,nu_tau,anti of nu_tau
anti-up,u¯,fermion,1,0.5,0.0022,-0.6666666666666666,-0.5,-0.3333333333333333,-0.3333333333333333,0,0,0,3,2,,u,anti of u
anti-down,d¯,fermion,1,0.5,0.0047,0.3333333333333333,0.5,-0.3333333333333333,-0.3333333333333333,0,0,0,3,2,,d,anti of d
anti-charm,c¯,fermion,2,0.5,1.27,-0.6666666666666666,-0.5,-0.3333333333333333,-0.3333333333333333,0,0,0,3,2,,c,anti of c
anti-strange,s¯,fermion,2,0.5,0.095,0.3333333333333333,0.5,-0.3333333333333333,-0.3333333333333333,0,0,0,3,2,,s,anti of s
anti-top,t¯,fermion,3,0.5,172.7,-0.6666666666666666,-0.5,-0.3333333333333333,-0.3333333333333333,0,0,0,3,2,,t,anti of t
anti-bottom,b¯,fermion,3,0.5,4.18,0.3333333333333333,0.5,-0.3333333333333333,-0.3333333333333333,0,0,0,3,2,,b,anti of b
anti-W+,W+¯,boson,,1.0,80.379,-1.0,0.0,-2.0,0.0,0,0,0,1,3,,W+,anti of W+
anti-W-,W-¯,boson,,1.0,80.379,1.0,0.0,2.0,0.0,0,0,0,1,3,,W-,anti of W-
