topology,regime,nodes,edges,Q0,Q_final,rel_drift,mean_quality,stable_pct,mean_dE_dt
path,valid,20,19,3.7502452111917792,3.7452186042040427,0.0013403408856401426,0.40130125472507966,100.0,-0.07920095549746264
path,perturbed,20,19,3.7502452111917792,3.7464170671066173,0.0010207716748061473,0.3587995869938706,57.49999999999999,-3.267644018871021
path,invalid,20,19,3.7502452111917792,5.218024192980183,0.39138213613556283,0.07169564963895271,40.0,12.415541059815064
cycle,valid,20,20,3.8435482586093754,3.843541917586967,1.6497834765782296e-06,0.4179867638885547,100.0,-0.08197952490700544
cycle,perturbed,20,20,3.8435482586093754,3.843541917586965,1.6497834770403954e-06,0.3690107864899629,60.0,-2.515487321122105
cycle,invalid,20,20,3.8435482586093754,6.513467994566158,0.6946497237224177,0.07239497842222793,42.5,10.912706663342714
grid,valid,25,40,1.0936870640443437,1.0888422788417875,0.004429772795008321,0.5144873137298076,100.0,-0.8892121429195399
grid,perturbed,25,40,1.0936870640443437,4.081551074836412,2.73191857983878,0.337946444611259,67.5,-10.25421066919133
grid,invalid,25,40,1.0936870640443437,-8.02144426298171,8.33431392460584,0.02371419963551124,47.5,28.655558319378336
tree,valid,31,30,-7.1415139664897715,-6.899939527958038,0.033826782341290204,0.4475727890854177,0.0,0.690647795629431
tree,perturbed,31,30,-7.1415139664897715,-6.660105726820722,0.06740982961427618,0.19633618562553018,45.0,8.305950808204159
tree,invalid,31,30,-7.1415139664897715,13.507061881386816,2.8913443206533227,0.01086189000112827,47.5,-74.11544010315183
erdos,valid,25,105,-11.952384896783656,-11.903907603814487,0.004055867794402613,0.6766339038122865,100.0,-0.5045889548242499
erdos,perturbed,25,105,-11.952384896783656,-11.625659213991977,0.027335605873903844,0.3375709721825172,35.0,5.644729238200128
erdos,invalid,25,105,-11.952384896783656,20.681537822450462,2.730327294598402,0.018972020738721895,50.0,45.510366883017596
