sigma,t,phi_s
0.4,10.0,0.46139492827083384
0.4010050251256282,10.0,0.46115270508025785
0.4020100502512563,10.0,0.46091057208615416
0.40301507537688447,10.0,0.4606685292854486
0.4040201005025126,10.0,0.46042657667504616
0.40502512562814075,10.0,0.46018471425183227
0.40603015075376886,10.0,0.45994294201267066
0.407035175879397,10.0,0.4597012599544054
0.40804020100502514,10.0,0.45945966807385996
0.4090452261306533,10.0,0.4592181663678374
0.4100502512562814,10.0,0.4589767548331194
0.4110552763819096,10.0,0.4587354334664681
0.4120603015075377,10.0,0.4584942022646251
0.41306532663316586,10.0,0.4582530612243109
0.414070351758794,10.0,0.4580120103422261
0.41507537688442214,10.0,0.45777104961505005
0.41608040201005025,10.0,0.4575301790394423
0.4170854271356784,10.0,0.4572893986120416
0.41809045226130653,10.0,0.45704870832946626
0.4190954773869347,10.0,0.45680810818831374
0.4201005025125628,10.0,0.4565675981851615
0.421105527638191,10.0,0.45632717831656605
0.4221105527638191,10.0,0.4560868485790638
0.42311557788944726,10.0,0.4558466089691699
0.42412060301507537,10.0,0.45560645948337986
0.42512562814070354,10.0,0.45536640011816787
0.4261306532663317,10.0,0.45512643086998844
0.4271356783919598,10.0,0.4548865517352746
0.428140703517588,10.0,0.4546467627104396
0.4291457286432161,10.0,0.4544070637918758
0.43015075376884426,10.0,0.4541674549759548
0.4311557788944724,10.0,0.45392793625902844
0.43216080402010054,10.0,0.45368850763742724
0.43316582914572865,10.0,0.45344916910746136
0.4341708542713568,10.0,0.45320992066542065
0.43517587939698493,10.0,0.45297076230757455
0.4361809045226131,10.0,0.452731694030171
0.4371859296482412,10.0,0.45249271582943884
0.4381909547738694,10.0,0.45225382770158523
0.4391959798994975,10.0,0.4520150296427971
0.44020100502512566,10.0,0.4517763216492409
0.44120603015075377,10.0,0.4515377037170627
0.44221105527638194,10.0,0.4512991758423875
0.44321608040201005,10.0,0.4510607380213204
0.4442211055276382,10.0,0.4508223902499456
0.4452261306532663,10.0,0.45058413252432644
0.4462311557788945,10.0,0.45034596484050615
0.4472361809045226,10.0,0.4501078871945074
0.4482412060301508,10.0,0.44986989958233203
0.4492462311557789,10.0,0.44963200199996156
0.45025125628140705,10.0,0.4493941944433569
0.4512562814070352,10.0,0.4491564769084579
0.45226130653266333,10.0,0.4489188493911849
0.45326633165829144,10.0,0.44868131188743676
0.4542713567839196,10.0,0.4484438643930922
0.4552763819095478,10.0,0.4482065069040091
0.4562814070351759,10.0,0.4479692394160248
0.45728643216080406,10.0,0.4477320619249565
0.45829145728643217,10.0,0.44749497442660036
0.45929648241206034,10.0,0.447257976916732
0.46030150753768845,10.0,0.4470210693911071
0.4613065326633166,10.0,0.44678425184546006
0.4623115577889447,10.0,0.4465475242755045
0.4633165829145729,10.0,0.44631088667693425
0.464321608040201,10.0,0.44607433904542226
0.4653266331658292,10.0,0.4458378813766207
0.4663316582914573,10.0,0.4456015136661613
0.46733668341708545,10.0,0.4453652359096555
0.46834170854271356,10.0,0.44512904810269377
0.46934673366834173,10.0,0.4448929502408459
0.47035175879396984,10.0,0.44465694231966163
0.471356783919598,10.0,0.4444210243346695
0.4723618090452262,10.0,0.44418519628137815
0.4733668341708543,10.0,0.4439494581552753
0.4743718592964824,10.0,0.4437138099518279
0.47537688442211057,10.0,0.4434782516664825
0.47638190954773874,10.0,0.443242783294665
0.47738693467336685,10.0,0.44300740483178114
0.47839195979899496,10.0,0.44277211627321555
0.4793969849246231,10.0,0.44253691761433234
0.4804020100502513,10.0,0.4423018088504756
0.4814070351758794,10.0,0.44206678997696774
0.4824120603015075,10.0,0.44183186098911187
0.4834170854271357,10.0,0.4415970218821896
0.48442211055276385,10.0,0.44136227265146255
0.48542713567839196,10.0,0.441127613292171
0.48643216080402013,10.0,0.44089304379953564
0.48743718592964824,10.0,0.44065856416875576
0.4884422110552764,10.0,0.4404241743950104
0.4894472361809045,10.0,0.4401898744734581
0.4904522613065327,10.0,0.4399556643992368
0.4914572864321608,10.0,0.43972154416746373
0.49246231155778897,10.0,0.43948751377323525
0.4934673366834171,10.0,0.43925357321162806
0.49447236180904525,10.0,0.4390197224776973
0.49547738693467336,10.0,0.438785961566478
0.4964824120603015,10.0,0.43855229047298444
0.4974874371859297,10.0,0.43831870919221055
0.4984924623115578,10.0,0.4380852177191296
0.4994974874371859,10.0,0.4378518160486943
