sigma,t,phi_s
-2.0,0.0,-20.72326583694641
-1.9698492462311559,0.0,-6.960818310890175
-1.9396984924623115,0.0,-6.235447627813021
-1.9095477386934674,0.0,-5.797970645180115
-1.879396984924623,0.0,-5.478478921956864
-1.849246231155779,0.0,-5.223718535987102
-1.8190954773869348,0.0,-5.009963713138997
-1.7889447236180904,0.0,-4.824554257233845
-1.7587939698492463,0.0,-4.659929658850874
-1.728643216080402,0.0,-4.5112102135020695
-1.6984924623115578,0.0,-4.375061441105568
-1.6683417085427137,0.0,-4.249102631336737
-1.6381909547738693,0.0,-4.131573827960771
-1.6080402010050252,0.0,-4.021136563616807
-1.5778894472361809,0.0,-3.916748646612192
-1.5477386934673367,0.0,-3.8175822470387426
-1.5175879396984926,0.0,-3.72296846943641
-1.4874371859296482,0.0,-3.6323587547633127
-1.457286432160804,0.0,-3.54529732810009
-1.4271356783919598,0.0,-3.4614011022548783
-1.3969849246231156,0.0,-3.380344738883946
-1.3668341708542715,0.0,-3.3018493550671018
-1.3366834170854272,0.0,-3.2256738564192573
-1.3065326633165828,0.0,-3.151608195299738
-1.2763819095477387,0.0,-3.079468061902044
-1.2462311557788945,0.0,-3.009090656806239
-1.2160804020100504,0.0,-2.940331290140812
-1.185929648241206,0.0,-2.8730606198754742
-1.1557788944723617,0.0,-2.807162389516647
-1.1256281407035176,0.0,-2.742531559807811
-1.0954773869346734,0.0,-2.6790727540462105
-1.0653266331658293,0.0,-2.616698955068629
-1.035175879396985,0.0,-2.555330405710308
-1.0050251256281406,0.0,-2.4948936749021624
-0.9748743718592965,0.0,-2.4353208594534532
-0.9447236180904524,0.0,-2.376548897616886
-0.914572864321608,0.0,-2.3185189752150683
-0.8844221105527639,0.0,-2.261176008758417
-0.8542713567839197,0.0,-2.204468192851885
-0.8241206030150754,0.0,-2.148346601454072
-0.7939698492462313,0.0,-2.0927648343535536
-0.7638190954773869,0.0,-2.0376787016662745
-0.7336683417085428,0.0,-1.9830459403121314
-0.7035175879396987,0.0,-1.9288259573576738
-0.6733668341708543,0.0,-1.874979595860588
-0.6432160804020102,0.0,-1.8214689194551965
-0.6130653266331658,0.0,-1.7682570124036705
-0.5829145728643217,0.0,-1.7153077922258655
-0.5527638190954773,0.0,-1.6625858323277385
-0.5226130653266332,0.0,-1.610056192286577
-0.4924623115577891,0.0,-1.5576842536300026
-0.4623115577889447,0.0,-1.5054355590718125
-0.4321608040201006,0.0,-1.453275653245839
-0.40201005025125625,0.0,-1.4011699230120755
-0.3718592964824121,0.0,-1.3490834353985477
-0.341708542713568,0.0,-1.2969807711873684
-0.31155778894472363,0.0,-1.2448258520521098
-0.2814070351758795,0.0,-1.1925817590022454
-0.25125628140703515,0.0,-1.1402105396832307
-0.22110552763819102,0.0,-1.0876730018098297
-0.1909547738693469,0.0,-1.0349284896647375
-0.16080402010050254,0.0,-0.9819346401603918
-0.1306532663316584,0.0,-0.9286471144206528
-0.10050251256281406,0.0,-0.8750193001670968
-0.07035175879396993,0.0,-0.8210019793612828
-0.0402010050251258,0.0,-0.76654295451965
-0.01005025125628145,0.0,-0.7115866258299723
0.0201005025125629,0.0,-0.6560735095896988
0.05025125628140703,0.0,-0.59993968646796
0.08040201005025116,0.0,-0.5431161655464392
0.11055276381909529,0.0,-0.48552814686199347
0.14070351758793942,0.0,-0.4270941610437723
0.170854271356784,0.0,-0.3677250593213761
0.20100502512562812,0.0,-0.3073228202833203
0.23115577889447225,0.0,-0.2457791307393198
0.2613065326633164,0.0,-0.18297368611919543
0.2914572864321605,0.0,-0.11877213993891401
0.3216080402010051,0.0,-0.05302361042087476
0.3517587939698492,0.0,0.01444237689874017
0.38190954773869334,0.0,0.08381967216036747
0.4120603015075375,0.0,0.15533022796677012
0.4422110552763816,0.0,0.22923006865516907
0.4723618090452262,0.0,0.3058169170862823
0.5025125628140703,0.0,0.3854400651869763
0.5326633165829144,0.0,0.4685133314986341
0.5628140703517586,0.0,0.5555323434430155
0.5929648241206027,0.0,0.647098002569605
0.6231155778894473,0.0,0.7439489948076258
0.6532663316582914,0.0,0.8470078833648469
0.6834170854271355,0.0,0.9574482218806946
0.7135678391959797,0.0,1.076795358261254
0.7437185929648238,0.0,1.207083514935883
0.7738693467336684,0.0,1.3511116433367727
0.8040201005025125,0.0,1.512883454635563
0.8341708542713566,0.0,1.6984179097360466
0.8643216080402008,0.0,1.917381705067015
0.8944723618090453,0.0,2.1868051990357986
0.9246231155778895,0.0,2.541205616755311
0.9547738693467336,0.0,3.069781603122411
0.9849246231155777,0.0,4.18596942162391
1.0150753768844218,0.0,4.203373027070557
1.0452261306532664,0.0,3.1219952532750606
1.0753768844221105,0.0,2.6282378157622532
1.1055276381909547,0.0,2.3086701295107197
1.1356783919597988,0.0,2.0740992416638147
1.165829145728643,0.0,1.8900136382076875
