sequence,len,coherence,sense_index,phi_s,grad_phi,k_phi,xi_c,phase_sync,epi_mag,hash
IL -> UM -> NUL -> THOL -> SHA,5,0.019424649652568293,0.008096263744804766,-0.03703345303844163,-0.4120386349200642,0.007146436319157462,0.15479074269329007,0.08861878457005412,0.0,9e62c43708c44bb1
RA -> REMESH -> EN -> OZ -> OZ -> OZ -> NUL -> VAL -> OZ,9,0.013788606623162836,-0.04468278119649649,0.23803053138843977,0.0,0.0,0.0,0.0,0.0,c825bb887eb4a173
AL -> SHA -> UM -> REMESH -> REMESH,5,0.0,0.0,0.0,-0.48706710138376597,-0.06518353756213871,0.19304568484667062,0.07059342412262237,0.00047571564922299636,e9c20baf14b26a37
REMESH -> UM -> NUL -> VAL -> UM -> AL -> EN -> ZHIR -> SHA,9,0.0,0.0,0.0,-0.30034408515413014,-0.08607558126488331,0.10470060173197249,0.12733473648858373,0.004805498222788973,26fcb1a8b2c41078
ZHIR -> UM -> OZ,3,0.05586583384459043,-0.01297664140752497,0.07469038725654908,-0.10164586786167251,-0.05756768236330018,0.031408120799698125,0.091177882011792,0.0,32c37475c0de13ea
UM -> IL -> NAV,3,0.011937172333994939,0.010454403957419478,-0.05587678474144531,-0.10237704363337574,-0.010829222613215795,0.03164728214342594,0.05493719455082702,0.0,d52891ffafdab778
OZ -> AL -> ZHIR -> OZ,4,0.12394173734744096,-0.024120326284864935,0.15597493978412047,0.0,0.0,0.0,0.0,-0.009191576051916783,9f16563eaf77d096
EN -> UM -> OZ,3,0.08296977815458939,-0.010442289491397139,0.06712766542648452,-0.11072711717923123,0.07204511953625292,0.03439277621213144,0.08360966327760422,0.0,f5f49652677d2e01
EN -> NAV -> UM -> NUL -> UM -> ZHIR -> SHA -> RA -> SHA,9,0.0,0.0,0.0,-0.43645694264117396,-0.012445057566729326,0.1667953593884508,0.1934161785123656,0.0,5d5ad604578d361e
UM -> NUL -> IL -> OZ -> SHA -> ZHIR -> SHA -> ZHIR -> OZ,9,0.05397504480441928,-0.01640898698936133,0.09333411894829935,-0.14164590848551128,0.006714400250037078,0.0447924484058736,0.09971243908140404,0.0,5c2d9b6b798e9270
