sequence,len,coherence,sense_index,phi_s,grad_phi,k_phi,xi_c,phase_sync,epi_mag,hash
THOL -> AL -> OZ,3,-0.0023909306392289054,-0.013233534593505791,-0.021296856111695628,0.0,0.0,0.0,0.0,-0.0012727545467855483,2b0828b26ccadfe7
ZHIR -> NAV -> NUL -> SHA,4,0.0,-0.0134271353664982,0.0,0.07358465210559917,-0.04546341059655998,0.0,-0.022604492208377347,-0.023546080124473012,bc01855b66395a5e
VAL -> THOL -> REMESH,3,0.005210774830336051,0.004345172319107249,-0.04896051697418391,0.0,0.0,0.0,0.0,0.012205982850781116,f12d1a44d4ed9cde
REMESH -> REMESH,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027441841925733845,67feed0f0b8689ce
NAV,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ab1bda9bd200fc88
AL -> REMESH,2,0.0,0.0017327080266941186,0.0,0.0,0.0,0.0,0.0,-0.002655924767159479,4003065485402868
OZ -> REMESH -> RA -> NAV,4,-0.012089242212199869,0.037622363640653855,-0.16842125372256378,-0.1171536682512686,0.15622226777153236,0.0,0.03498851506116851,0.0012770425707395727,e48f0a22e7f9ce11
SHA -> EN -> RA -> REMESH,4,0.0,-0.012932766025937237,0.0,0.06191871950080441,0.22650425459548001,0.0,-0.028289682082365597,0.0012339621943207035,9a931b301ea4c17d
UM -> REMESH -> AL -> NAV -> VAL -> NUL -> NAV,7,0.0,0.009356540258578239,0.0,-0.055519929584706196,0.24874721640309666,0.0,0.028451638316554395,0.008312395186670818,35bf716e4f2ba140
NAV -> NUL -> UM -> ZHIR -> REMESH,5,0.0,-0.006253488604230584,0.0,0.004098535019555927,0.05313816954194325,0.0,-0.013643715362247066,-0.011412624252017056,09ccc6a08581cc76
OZ -> NAV -> EN -> AL -> OZ,5,-0.028098103756276083,0.041934873457779576,-0.12133558219249074,0.0,0.0,0.0,0.0,-0.0022921085016481824,3ebd932e7b383913
EN -> OZ -> EN -> SHA,4,-0.011286994938860762,0.004665075147933018,0.02223652163873091,0.0,0.0,0.0,0.0,0.0,602e9022701871a9
VAL -> REMESH,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009324758531895516,977fde0201bff0ce
ZHIR -> UM -> NAV,3,0.0,0.0151196994899917,0.0,-0.09020965496835487,0.38417702463190156,0.0,0.037345691997090924,0.0,a81b427d004ee8ba
ZHIR -> IL -> NUL -> NAV -> OZ -> IL -> SHA,7,0.0026245437918297476,0.001418677021622794,0.0009998533233886997,-0.02322029905874623,0.17316072177440717,0.0,0.006828491475217469,-0.015856628328262512,36783f1b3a937330
