sequence,len,coherence,sense_index,phi_s,grad_phi,k_phi,xi_c,phase_sync,epi_mag,hash
OZ -> NAV -> EN -> AL -> OZ,5,-0.028098103756276083,0.041934873457779576,-0.12133558219249074,0.0,0.0,0.0,0.0,-0.0022921085016481824,3ebd932e7b383913
VAL -> AL -> REMESH,3,0.0,0.0016569052039349108,0.0,0.0,0.0,0.0,0.0,0.029403632795797496,420e7db2f503a81d
REMESH -> IL -> NUL -> EN -> ZHIR -> UM -> ZHIR -> OZ,8,-0.010452159551319729,0.02643568159636034,0.020657341879853353,-0.1790515104491852,0.7716287526475474,0.0,0.05652929814351182,-0.0073276750616607655,9935f322088287c6
OZ -> AL -> EN -> NAV -> ZHIR -> AL -> OZ,7,-0.028932075607111862,0.03454808702693313,0.06566118316844771,-0.03342452608773794,0.20204182505894927,0.0,0.01567598991001673,0.004832806027432857,874ddb968e75f296
AL -> RA -> EN -> OZ,4,-0.015864437727144298,0.05770073158543143,-0.07811614814805523,-0.14770549057202542,-0.07306283814646958,0.0,0.04914369674435892,0.001187981062125587,4cb2c48768031b41
NAV -> OZ -> OZ -> OZ -> NUL -> SHA,6,-0.039091619174668746,-0.0009692009646579125,-0.2624388488399425,0.0,0.0,0.0,0.0,-0.010525531755085304,79f56b7ff3ac14f1
NAV -> ZHIR -> NAV -> RA -> OZ,5,-0.01607238380969711,0.032711782945728296,-0.21113222907440088,-0.017643524705357683,0.6049482257731232,0.0,-0.004660631265760329,0.0,4d358651f581f932
REMESH -> NUL -> AL -> ZHIR -> NUL -> UM -> ZHIR -> NAV,8,0.0,0.02917435165062765,0.0,-0.14257065822499326,0.4075282989563883,0.0,0.048997712101513824,-0.03897220778573263,a1be3d7428a06460
NUL -> IL -> UM -> UM -> THOL -> OZ -> NAV,7,0.0010285511164112027,0.0474209298549535,-0.1152376001706672,-0.25421197814926155,-0.23674791788983923,0.0,0.08617980501225653,-0.020195980290726667,1fc025f85082496a
ZHIR -> UM -> OZ,3,-0.014457551408294522,0.02685838111445371,-0.20593360752143897,-0.07359057222265042,0.04501074066656055,0.0,0.011934920546573413,0.0,7e46ef51f125507a
NUL -> IL -> SHA -> IL -> AL -> UM -> RA -> NAV,8,0.012808174297119779,0.06510853951823836,-0.014989327986228762,-0.31356286380656306,0.10838446213161276,0.0,0.09990136263464067,-0.008922361965974068,cd95e31e8d75143d
OZ -> ZHIR -> OZ -> ZHIR -> EN -> REMESH,6,-0.02410328807328066,0.003295417962941638,-0.25245110732955267,0.09063597842877824,-0.08564225017071042,0.0,-0.028606719059920183,0.0014461983921197907,dabe32beb9ec7c81
RA -> UM -> NAV,3,0.0,0.04803503504193829,0.0,-0.32689626103774816,0.22752243518320367,0.0,0.11317609798687489,0.0,07a7b183ac74e697
REMESH -> RA -> NAV,3,0.0,-0.03572793559979154,0.0,0.16413679841008566,0.5564121165975344,0.0,-0.06315408036046655,0.0013049666318640796,19946b7acfe1af63
NUL -> AL -> UM -> REMESH,4,0.0,0.06340212486616525,0.0,-0.34660004949892587,0.4784132550189981,0.0,0.10259647857079979,-0.011703970965694865,b83c743017813346
